from$label_from$sent_from$type$to$label_to$sent_to
средства, действующие на ренин-ангиотензиновую систему$group$средства, действующие на ренин-ангиотензиновую систему; антагонисты рецепторов ангиотензина II.$sub_group$антагонисты рецепторов ангиотензина II$group$средства, действующие на ренин-ангиотензиновую систему; антагонисты рецепторов ангиотензина II.
регуляция водно-электролитного гомеостаза$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.$Not_link$стимуляция клеточного роста$mechanism$Основными физиологическими эффектами ангиотензина II являются вазоконстрикция, стимуляция продукции альдостерона, регуляция водно-электролитного гомеостаза и 1 стимуляция клеточного роста.
Кандесартан$prepare$Кандесартан – селективный антагонист рецепторов ангиотензина II 1 типа (АТ 1 -рецепторов).$link$селективный антагонист рецепторов ангиотензина II$mechanism$Кандесартан – селективный антагонист рецепторов ангиотензина II 1 типа (АТ 1 -рецепторов).
кандесартана$prepare$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$link$ингибиторами АПФ$group$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
ингибиторами АПФ$group$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$link$развитие кашля$side_e$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
реже встречалось у пациентов$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$link$развитие кашля$side_e$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
Кандесартан$prepare$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$link$не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$link$ингибирует АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
ингибирует АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$link$осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
Кандесартан$prepare$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$link$не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$link$влияет на АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
Кандесартан$prepare$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$link$не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$link$приводит к накоплению брадикинина или субстанции Р$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
Кандесартан$prepare$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$ингибирует АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
Кандесартан$prepare$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
Кандесартан$prepare$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$влияет на АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
Кандесартан$prepare$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$приводит к накоплению брадикинина или субстанции Р$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
Кандесартан$prepare$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$реже встречалось у пациентов$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$влияет на АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$приводит к накоплению брадикинина или субстанции Р$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$реже встречалось у пациентов$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
ингибирует АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
ингибирует АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$влияет на АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
ингибирует АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
ингибирует АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$приводит к накоплению брадикинина или субстанции Р$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
ингибирует АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$реже встречалось у пациентов$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$влияет на АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$приводит к накоплению брадикинина или субстанции Р$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$реже встречалось у пациентов$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$приводит к накоплению брадикинина или субстанции Р$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$реже встречалось у пациентов$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
влияет на АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
влияет на АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$приводит к накоплению брадикинина или субстанции Р$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
влияет на АПФ$action$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$реже встречалось у пациентов$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
не$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.$Not_link$реже встречалось у пациентов$noun$Кандесартан не ингибирует АПФ, который осуществляет превращение ангиотензина I в ангиотензин II и разрушает брадикинин; не влияет на АПФ и не приводит к накоплению брадикинина или субстанции Р. При сравнении кандесартана с ингибиторами АПФ развитие кашля реже встречалось у пациентов, получавших кандесартан.
