from$label_from$sent_from$type$to$label_to$sent_to
Морфин$prepare$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.$link$фенантреновым алкалоидом опийного мака$group$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.
Морфин$prepare$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.$link$агонистом опиоидных рецепторов$group$Фармакодинамика Морфин является фенантреновым алкалоидом опийного мака (Papaver somniferum), агонистом опиоидных рецепторов.
Морфин$prepare$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$link$Центральное действие$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
Центральное действие$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$гипотензивным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
Центральное действие$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$замедляющим сердечный ритм$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
анальгезирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$противокашлевым$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
анальгезирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$седативным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
анальгезирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$транквилизирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
анальгезирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$угнетающим дыхание$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
анальгезирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$миотическим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
анальгезирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$антидиуретическим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
анальгезирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$рвотным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
анальгезирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$противорвотным (позднее действие)$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
анальгезирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$гипотензивным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
анальгезирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$замедляющим сердечный ритм$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
противокашлевым$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$седативным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
противокашлевым$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$транквилизирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
противокашлевым$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$угнетающим дыхание$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
противокашлевым$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$миотическим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
противокашлевым$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$антидиуретическим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
противокашлевым$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$рвотным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
противокашлевым$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$противорвотным (позднее действие)$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
противокашлевым$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$гипотензивным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
противокашлевым$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$замедляющим сердечный ритм$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
седативным$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.$Not_link$транквилизирующим$action$Центральное действие Морфин обладает анальгезирующим, противокашлевым, седативным, транквилизирующим, угнетающим дыхание, миотическим, антидиуретическим, рвотным и противорвотным (позднее действие), а также гипотензивным и замедляющим сердечный ритм действиями.
