source;target
лизиноприл;увеличение скорость оседание эритроцит (соэ)
действие седативный;вызывать различный степень седации
конкурентный антагонист альдостерон;гинекомастия
колхицин;кишечник
периндоприл;сердечно-сосудистый заболеваемость
альфа и бета-адреноблокатор;бета-адреноблокатор
эмпаглифлозин;кишечник
нарушение действие;половой гормон
норэпинефрин;тяжёлый периферический и висцеральный ангиоспазм
сертралин;тошнота
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;дискинезия
пентамидин;вазоспазм
расслабление миокард;снижать диастолический напряжение стенка желудочек
фелодипин;бронхит
метформин;ингибирование гликогенолиз
колхицин;кожный реакция с отслойка эпидермис
блокатор адренорецептор β2;гипогликемия
амлодипин;тахикардия
эналаприл;крапивница
сертралин;печень
расширение сосуды скелетный мускулатура;снижать общее периферическое сосудистое сопротивление
ранолазин;ощущение сдавление в горло
фозиноприл;ишемический инсульт
снижать образование амилоидный фибрилл;препятствовать развитие амилоидоз
сакубитрил;кашель
активироваться система простагландин е2;одышка
амлодипин;гипотензивный эффект
ивабрадин;крапивница
периндоприл;агранулоцитоз или панцитопения
соталола;боль за грудина
каптоприл;сонливость
аллопуринол;почка
повышение концентрация циклический гуанозинмонофосфат (цГМФ);подавление высвобождение ренин
рамиприл;заложенность нос
ацетазоламид;спутанность сознание
цизаприд;тахикардия
сертралин;нарушение координация движение
циркулировать;активироваться система простагландин
дигоксин;носовой кровотечение
дизопирамида;боль за грудина
эритромицин;бронхоспазм
каптоприл;печень
эритромицин;пилоэрекция
ингибировать действие na+/к +-атф-фаза на мембрана кардиомиоцит;желудочковый экстрасистолия (бигеминий, политопный желудочковый экстрасистолия)
амиодарон;удлинение интервал qt на экг
каптоприл;протеинурия
ацетазоламид;диарея
гипомагниемия;боль в верхний отдел живот
валсартан;снижение гемоглобин
каптоприл;фоточувствительность
спиронолактон;гиперчувствительность
фелодипин;учащенный мочеиспускание
нарушение продукция;половой гормон
лизиноприл;синусит
амлодипин;снижение ад
хинидин;повышение или снижение ад
бепридить;неконтролируемый изменение ад
сертралин;напоминать злокачественный нейролептический синдром
адренорецептор;α1
колхицин;сахарный диабет
аллопуринол;катаракта
гликозид наперстянка;дигоксин
гипонатриемия;тошнота
пимозид;тошнота
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор α;усталость
вызывать различный степень седации;кома
сертралин;летальный исход
валсартан;васкулит
ивабрадин;неконтролируемый изменение ад
уменьшать чрезмерный симпатический активность;отрицательный хронотропный действие
увеличение выделение вода;вызывает выведение кальций
колхицин;повреждение почка
вазоконстрикция;снижение кровоток гладкий мышца
сертралин;спутанность сознание
спиронолактон;кишечник
вызывать увеличение активность ренин в плазма кровь;уменьшение секреция альдостерон
бепридить;экстрасистолия
грейпфрутовый сок;повышение экспозиция
повышение внутриклеточный концентрация ион кальций адренорецептор α;ощущение сердцебиение
нарушение продукция;антидиуретический гормон
уменьшать опсс;восстановление структура сосудистый стенка мелкий артерия
аллопуринол;головная боль
мефлохина;нарушение проводимость сердце
α1;вазодилатировать
сертиндол;тремор палец рука
фозиноприл;отечность язык
ивабрадин;экстрасистолия
ибутилида;нарушение проводимость сердце
аллопуринол;гепатит
периндоприл;боль в живот
каптоприл;спутанность сознание
артериальный гипотензия;пресинкопальный состояние
фуросемид;сыпь
печень;кал
калийсберегающий диуретик;регуляция артериальный давление
эсциталопрам;синусит
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;серотониновый синдром
фуросемид;лекарственный сыпь с эозинофилия
почка;ухудшение функция почка
фелодипин;тревожный расстройство
амиодарон;недомогание, возможно, связанный с брадикардия
дизопирамида;удлинение интервал qt на экг
эсциталопрам;запор
периферический действие;миорелаксировать действие
дигоксин;окрашивание видимый предмет в жёлтый-зелёный цвет
бепридить;гипокалиемия
калийсберегающий диуретик;гиперхолестеринемия
амиодарон;повышение конечный диастолический давление в левый желудочек
каптоприл;диарея
бепридить;расширение комплекс qrs на экг
нарушение водный-электролитный баланс;головокружение
лизиноприл;токсический эпидермальный некролиз (синдром лайелл)
центральный действие;помутнение зрение
фуросемид;нефротоксический
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор α;усиливает гликогенолиз
почка;снижение функция почка
зипразидон;синдром слабость синусовый узел
ивабрадин;гипокалиемия
ивабрадин;расширение комплекс qrs на экг
цизаприд;азотемия
амлодипин;смертность
увеличиваться ударный объём кровь;снижаться конечный объём сердце диастолический
эсциталопрам;низкий аффинность рецептор d1
триметазидин;запор
сертралин;моча
средство для лечение заболевание сердце;сердечный гликозид
аллопуринол;кровавая рвота
колхицин;сонливость
ранолазин;тромбоцитоз
валсартан;ринит
валсартан;тошнота
усиление выведение ион калий;гипокалиемия
периндоприл;инсульт
колхицин;макулопатия
хинидин;кровотечение из желудочнокишечный тракт
периндоприл;периферический нейропатия
фелодипин;парестезия
небиволол;рвота
небиволол;эректильный дисфункция
гипотензивный действие;снижение реакция гладкий мускулатура сосуд на вазоконстрикторный воздействие
торможение ренин-ангиотензин-альдостеронов система;уменьшение вазопрессорный активность
блокатор адренорецептор α1;вазодилатировать
лизиноприл;кардиотоксический и нейротоксический действие
гипонатриемия;диарея
зипразидон;бронхоспазм
расширение сосуд;повышенный пототделение
периндоприл;острый почечный недостаточность
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;импотенция
антитромботический средство;антиагрегант, кроме гепарин
нарушение водный-электролитный баланс;гипокалиемия
увеличение количество выделять моча;увеличение концентрация мочевой кислота в кровь
норэпинефрин;стимулировать действие α-адренорецептор периферический сосуд
зипразидон;пилоэрекция
аллопуринол;кожная сыпь
рамиприл;гинекомастие
валсартан;ортостатический гипотензия
карведилол;гиперволемия
бепридить;тахикардия
каптоприл;синдром стивенс-джонсон
лизиноприл;сыпь
ибутилида;удлинение интервал qt на экг
сакубитрил;кожный сыпь
амлодипин;гипогликемия
нарушение периферический кровообращение;обострение синдром «перемежаться» хромота
фуросемид;повышение артериальный
антигипертензивный действие;снижение постнагрузка
артериальный гипотензия;тошнота
артериальный гипотензия;выраженный снижение ад
ивабрадин;тахикардия
периндоприл;изменение цвет кожа
периндоприл;диспепсия
ранолазин;рвота
понижать избыточный отрицательный заряд;уменьшать градиентный фильтрация плазма в полость желудочек мозг
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;расслаблять гладкий мышца бронх
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;головной боль
зипразидон;выраженный брадикардия с чсс не более 40 уд/мина
карведилол;расстройство сон
ингибитор апф;воздействие на ренин-ангиотензинальдостероновый система (раас)
рамиприл;гипогликемия
ранолазин;эректильный дисфункция
пимозид;вазоспазм
валсартан;почки
амлодипин;лихорадка
повышать проводимость миокард;желудочковый аритмия
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор α;расстройство личность
дизопирамида;повышение конечный диастолический давление в левый желудочек
галофантрина;бронхоспазм
ацетазоламид;отслойка сосудистый оболочка глаз
периндоприл;синдром неадекватный секреция антидиуретический гормон
эритромицин;реакция гиперчувствительность
подавляет клеточное деление в стадии метафаза;антимитотическим действием
периндоприл;фибрилляция желудочек с летальный исход и коллапс
повышение внутриклеточный концентрация ион кальций адренорецептор β;расширение сосуды скелетный мускулатура
фелодипин;миалгия
галофантрина;пилоэрекция
блокировка длинноцепочечный 3-кетоацил-коа-тиолаза;ингибировать β-окисление жирный кислота
эритромицин;тревожность
лизиноприл;нарушение сон
спиронолактон;быстро метаболизироваться в организм человек
зипразидон;эозинофилия
карведилол;зрение
ацетазоламид;холестатический желтуха
центральный действие;угнетение цнс
соталола;спазм мышца
морфин;аменорея
уменьшать концентрация мочевой кислоты моча;растворение кристалл мочевой кислота
фелодипин;абдоминальный боль
гидрохлоротиазид;желудочный-кишечный тракт
конкурентный антагонист альдостерон;бесплодие
колхицин;катаракта
периндоприл;синдром рейно
мефлохина;гиперурикемия
амлодипин;припухлость в область область сустав
спиронолактон;сонливость
средства для лечения заболеваний сердца;кардиотонические средства, кроме сердечных гликозидов
пентамидин;изменение световосприятие (фотопсия)
рамиприл;ишемический инсульт
блокировать синтез тромбоксан А2;подавлять агрегация тромбоцит
ацетазоламид;ощущение покалывание в конечность
периндоприл;мочь повышать риск развитие ангионевротический отёк
дизопирамида;спазм мышца
ибутилида;гиперурикемия
снижение содержание ангитензин ii в плазма кровь;восстановление структура сосудистый стенка мелкий артерия
периндоприл;эксфолиативный дерматит
мефлохина;недомогание, возможно, связанный с брадикардия
центральный действие;действие миотический
спиронолактон;язва
валсартан;диарея
повышение активность калликреин-кининовый система циркулировать;активироваться система простагландин
уменьшение концентрация ангиотензин ii;снижать активность ренин-ангиотензин-альдостеронов система (раас)
лизиноприл;крапивница
антиаритмический действие;брадикардия
ибутилида;недомогание, возможно, связанный с брадикардия
мефлохина;повышение конечный диастолический давление в левый желудочек
ранолазин;носовой кровотечение
ацетазоламид;прилив
каптоприл;астения
колхицин;апластическая анемия
эсциталопрам;пирексия
амлодипин;отёк дыхательный путь
эсциталопрам;желудочковый тахикардия тип «пируэт»
ибутилида;повышение конечный диастолический давление в левый желудочек
повышение концентрация ион калий сыворотка кровь;повышение содержание калий
соталола;тошнота
соталола;выраженный снижение ад
колхицин;гепатит
эналаприл;фибрилляция предсердие
хинидин;тошнота
лизиноприл;цереброваскулярный инсульт
норэпинефрин;желудочковый аритмия
ацетазоламид;слабость
амлодипин;измененией характер стул
эналаприл;снижение гематокрит
дигоксин;тромбоцитопенический пурпур
дизопирамида;выраженный снижение ад
уменьшение объём циркулировать кровь;эозинофилия
бепридить;азотемия
ингибитор апф;ингибитор разрушение брадикинин
фозиноприл;ангионевротический отек
отрицательный дромотропный эффект;av блокада
небиволол;блокировать
снижение секреция альдостерон;снижение либидо
ивабрадин;азотемия
триметазидин;неустойчивость походка
эсциталопрам;крапивница
эсциталопрам;расстройство зрение
гидрохлоротиазид;немеланомный рак кожа и губа
норэпинефрин;светобоязнь
эсциталопрам;нервозность
нитроглицерин;боль в живот
расширять сосуд;снижение артериальный давление (АД)
ранолазин;гематурия
рамиприл;боль в грудь
дигоксин;увеличение активность блуждать нерв
колхицин;кровавая рвота
фелодипин;лихорадка
каптоприл;снижение число лейкоцит
снижение концентрация ангиотензин II в плазма кровь;торможение ренин-ангиотензин-альдостеронов система
увеличение общий периферический сосудистый сопротивление;головной боль
снижать общий периферический сосудистый сопротивление артериальный давление;головной боль
ингибитор апф;снижение содержание ангитензин ii в плазма кровь
спиронолактон;спутанность сознание
сертралин;слабость
положительный инотропный действие;повышение артериальный давление диастолический
фозиноприл;гипербилирубинемия
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;ажитация
аллопуринол;рвота
рамиприл;равновесие
аллопуринол;стоматит
соталола;наджелудочковый экстрасистолия
зипразидон;тревожность
ацетазоламид;брадикардия
периферический вазодилатация;периферический отёк
норэпинефрин;олигурия
пентамидин;шок (у пациент с бронхиальный астма)
каптоприл;повышенный утомляемость
цизаприд;эритема
карведилол;выраженный снижение ад
спиронолактон;диарея
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор α;усиливает глюконеогенез
эналаприл;гипогликемия
гипокалиемия;мышечный слабость
эналаприл;алопеция
дизопирамида;наджелудочковый экстрасистолия
карведилол;печень
амиодарон;диплопия
карведилол;с нарушение показатель гемодинамика
каптоприл;тахиаритмия
соталола;диарея
амлодипин;желтуха
нарушение водный-электролитный баланс;мышечный слабость
спиронолактон;гепатит
снижать общий периферический сосудистый сопротивление артериальный давление;артериальный гипотензия
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;тревога
фозиноприлат;почка
сакубитрил;артериальный гипотензия
эналаприл;атаксия
эмпаглифлозин;ugt1a3
галофантрина;реакция гиперчувствительность
амиодарон;флебит
гидрохлоротиазид;ксантопсия
психотический расстройство;шизофреноподобный расстройство
эналаприл;панкреатит
галофантрина;тревожность
пентамидин;запор
вазоконстрикция;повышение артериальный давление
дизопирамида;диарея
избирательно блокировать рецептор подтип AT1;повышение плазменный концентрация ангиотензин ii
замедление атриовентрикулярный проводимость;урежение частота сердечный сокращение
конкурентный антагонист альдостерон;боль в грудь
колхицин;изменения частоты дефекации и характера стула
аллопуринол;кома
увеличение секреция калий в дистальный часть почечный каналец;увеличиваться выведение ион магний
колхицин;астения
оказывать сосудорасширяющий действие;уменьшать опсс
увеличение количество выделять моча;уменьшение объём циркулировать кровь
соталола;вазоспазм
аллопуринол;мочекаменная болезнь
метаболизироваться в печень;гепатонекроза
мефлохина;болезненность в место введение
фозиноприл;скелетно-мышечный боль
снижение реабсорбция эпителий каналец ион натрий;электролитный нарушение
гидрохлоротиазид;блокировать реабсорбция ион натрий и хлор в начало почечный каналец
хинидин;вазоспазм
эсциталопрам;низкий аффинность рецептор бензодиазепин
эналаприл;опоясывать герпес
метформин;тошнота
ацетазоламид;дегидратация
аллопуринол;фурункулез
карведилол;серьёзный кожный
триметазидин;экстрасистолия
увеличение выделение вода;вызывает выведение фосфат
ацетазоламид;агранулоцитоз
расширять сосуд;ортостатический гипотензия
вазоконстрикция;увеличение общий периферический сосудистый сопротивление
ранолазин;запор
метформин;мегалобластной анемия
почка;острый почечный недостаточность
снижение концентрация ангиотензин ii в плазма кровь;увеличение активность ренин в плазма кровь
дигоксин;мелькание «мушка» перед глаз
дигоксин;токсический воздействие препарат
лекарственный средство (лс), удлинять интервал qt;антиаритмический средство, удлинять интервал qt
ранолазин;дизурия
сертиндол;изменение световосприятие (фотопсия)
