label;tag
прерывать канальцево-клубочковый обратный связь в macula densa;action
половой гормон;hormone
задерживать всасывание глюкоза в кишечник;mechanism
мегалобластной анемия;side_e
нарушение атриовентрикулярный проводимость;side_e
неконтролируемый изменение ад;side_e
тромбоцитопения;side_e
гиперплазия десна;side_e
повышение тонус мышца мочевой пузырь;side_e
хориоидальный выпот;side_e
нарушение мышления;side_e
жкт эритроциты;absorbtion
ксантопсия;side_e
нистагм;side_e
увеличивать ударный объем кровь;action
снижать канальцевый реабсорбция вода;action
поражение кожа по тип псориаз и красный плоский лишать;side_e
повышение концентрация циклический гуанозинмонофосфат (цГМФ);mechanism
низкий аффинность рецептор холинергический мускарин;mechanism
ара ii;group
бигуанид;group
чувство дискомфорт;side_e
предотвращать снижение внутриклеточный концентрация аденозинтрифосфат;mechanism
желудочный кровотечение;side_e
гипомагниемия;side_e
кровавая рвота;side_e
дигоксин;prepare
лихеноидный реакция;side_e
повышение тонус миокард;action
активный метаболит-периндоприлат;metabol
тромбоэмболия ветвь лёгочный артерия;side_e
повышение активность калликреин-кининовый система тканевый;mechanism
снижение секреция альдостерон;mechanism
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор α;mechanism
макулопатия;side_e
кишечник;excretion
пролактин;hormone
допамин;prepare
моноаминоксидаза;metabol
нефротический синдром;side_e
повышение концентрация билирубин в плазма кровь;side_e
сухой кашель;side_e
эналаприлат;prepare
субтоксический и токсический доза;noun
эпителий кишечник;metabol
низкий аффинность рецептор d1;mechanism
повышение плазменный концентрация ангиотензин ii;action
действие антигипертрофичекий;action
сухость слизистый оболочка полость рот;side_e
снижением общего периферического сопротивления сосудов;action
препятствовать задержка вода;mechanism
сосуд артериальный;action
абдоминальный боль;side_e
другой вегетативный симптом;side_e
афтозный стоматит;side_e
ринорей;side_e
повышение соэ;side_e
нарушение памяти;side_e
выраженный брадикардия с чсс не более 40 уд/мина;side_e
тормозить патологический возбуждеие;action
суицидальный поведение;side_e
не оказывать фармакодинамика;action
повышение концентрация азот мочевина в плазма кровь;side_e
высвобождение альдостерон;action
индуктор изофермент cyp3a4;metabol
измененией характер стул;side_e
синдром Стивенса-Джонсона;side_e
натрийуретический эффект;mechanism
жкт верхний отдел;absobtion
производный дигидропиридин;group
активный метаболит;noun
узловой тахикардия;side_e
реакция фотосенсибилизация;side_e
расширение коронарный сосуд;action
ощущение сердцебиение;side_e
глюкозурия у пациент с сахарный диабет;side_e
жкт;absorbtion
язвы;side_e
повышать общее периферическое сосудистое сопротивление;action
снижение артериальный давление;action
сохранять уровень высокоэнергетический фосфат в клетка миокард;action
увеличение выделение вода;action
адренорецептор β2;mechanism
анурия;side_e
повышение концентрация креатинин;side_e
уремия;side_e
периферический отек;side_e
трахеобронхит;side_e
ситаглиптина;prepare
телитромицин;prepare
нарушение проводимость;side_e
психомоторный реакция;side_e
снижение содержание ангиотензин ii;mechanism
вазоспазм;side_e
адренорецептор β1 постсинаптический;mechanism
кровоподтек;side_e
функция функция почка;side_e
пентамидин;prepare
ренин;hormone
псориазоподобный дерматит;side_e
никтурия;side_e
расширение комплекс qrs на экг;side_e
ингибитор натрий-зависимый переносчик глюкоза 2 тип;mechanism
сердечный гликозид;group
гепатит;side_e
боль в грудной клетка;side_e
расслаблять гладкомышечный клетка жёлчный проток;action
низкий аффинность рецептор гистамин h1;mechanism
антагонисты альдостерона;group
подагрический артрит;side_e
мочегонное действие;action
нитрат короткий и пролонгировать действие;group
инфаркт лёгкий;side_e
нарушение продукция;action
тяжёлый анафилактоидный реакция;side_e
повышение концентрация мочевина в сыворотка кровь;side_e
выраженное снижение ад;side_e
подавлять калийвыводить эффект;mechanism
миалгия;side_e
фибрата;group
метаболитический нарушение;action
повышение концентрация холестерин в кровь;side_e
опиоид;group
транзиторный ишемический атака;side_e
развитие толерантность;side_e
дофамин;prepare
аллергический реакция;side_e
цереброваскулярный инсульт;side_e
понижение артериального давления;side_e
ацетазоламид;prepare
остеомаляция;side_e
кининаз ii;noun
повышение концентрация креатинин в плазма кровь;side_e
натрий дисульфита;prepare
стимулировать образование оксид азота в эндотелиоцит;action
эндотелиальный релаксировать фактор;mechanism
лекарственная зависимость;side_e
раздражение желудок;side_e
одышка;side_e
уменьшать выделение слюна;side_e
ингибирование цог-1;mechanism
синдром слабость синусовый узел;side_e
некроз кожа и подкожный клетчатка;side_e
баланит;side_e
агранулоцитоз;side_e
положительный результат тест на антинуклеарный антитело;side_e
обморочный;side_e
блокировать;mechanism
бледность;side_e
увеличение скорость оседание эритроцит;side_e
токсический эпидермальный некролизприпухлость;side_e
активироваться система простагландин;mechanism
уменьшение образование ион бикарбонат;action
действие кардиопротективный;action
потоотделение;side_e
развитие;side_e
сертралин;prepare
носовой кровотечение;side_e
головная боль;side_e
снижение миокард;action
процесс реполяризация желудочек сердце;noun
концентрация мочевой кислота в сыворотка кровь;side_e
гиперальгезия;side_e
лс, удлинять интервал qt, не относиться к антиаритмический средство;group
неадекватный секреция антидиуретический гормон;side_e
петлевой;group
при попадание препарат под кожа;action
каптоприл;prepare
афтозный язва;side_e
влияние на гипоталамо- гипофизарный ось;action
конкурентный антагонист альдостерон;mechanism
спутанность сознания;side_e
поражение почка;side_e
нитритоидный реакция;side_e
предотвращать проникновение ион кальций;mechanism
с возможный летальный исход;side_e
белок плазма кровь;link_prot
гипестезия полость рот;side_e
инфекция мочевыводить путь;side_e
задержка жидкость;side_e
вертиго;side_e
угнетение контринсулярный система;side_e
увеличивать сердечный сокращение сила;action
белками плазмы;prot_link
внимание;side_e
av блокада i степень;side_e
гирсутизм;side_e
меноррагия;side_e
ортостатический головокружение;side_e
альфа и бета-адреноблокатор;group
гиперемия кожный;side_e
обоняние;side_e
антиангинальный действие;action
циркулировать;mechanism
панкреатит с летальный исход;side_e
фурункулез;side_e
серозита;side_e
ангионевротический отёк лицо, конечность, губа, язык, гортань и/или глотка;side_e
действие миотический;action
вазодилататор для лечение заболевание сердце;group
снижение концентрация ангиотензин II в плазма кровь;action
анемия;side_e
снижение ион калий;action
адренокортикотропный гормон;hormone
эритропения;side_e
ингибирование гликогенолиз;mechanism
dress-синдром;side_e
сульфаметоксазол;prepare
расслабление гладкий мышца сосудистый стенка;action
с нарушение показатель гемодинамика;side_e
дилатация коронарный сосуд;action
валсартан;prepare
трансмембранный перенос ион натрий;action
дисфория;side_e
повышение артериальное давления;side_e
недостаточный секреция антидиуретический гормон;side_e
почки;excretion
дисгевзия;side_e
возможный усугубление симптом сердечный недостаточность;side_e
пресинкопальный состояние;side_e
кожный аллергический реакция;side_e
повышать риск развитие;action
фенитоин;prepare
препараты, ингибирующие синтез мочевой кислоты;group
баклофен;prepare
увеличивать сердечный сокращение частота;action
ugt1a9;metabol
одноцветный зрительный галлюцинация;side_e
повышение активность «печеночный» фермент;side_e
незначительно связывается с белками плазмы крови;metabol
тиазид;group
металлический привкус в рот;side_e
мышечный слабость;side_e
галлюцинации;side_e
ощущение сердцебиения;side_e
почечный недостаточность;side_e
нарушение проводимость сердце;side_e
некроз кишечник;side_e
гиперурикемия;side_e
гемоконцентрация;side_e
кома;side_e
белкок плазма кровь;prot_link
антагонист альдостерон и другой калийсберегающий диуретик;group
повышенная возбудимость;side_e
анафилактический/анафилактоидный реакция;side_e
скелетно-мышечный боль;side_e
увеличение концентрация лактат в сыворотка кровь;side_e
фотосенсибилизация;side_e
извращение вкус;side_e
ингибирует ксантиноксидаза;mechanism
соталола;prepare
кардиоваскулярный смерть;side_e
усиление сердечнососудистый эффект;side_e
увеличиваться ударный объём кровь;action
повышение концентрация;action
печёночный энцефалопатия;side_e
ортостатический гипотензия;side_e
блокировать синтез тромбоксан А2;mechanism
подавление активность раас;mechanism
стеноз сосуд;side_e
угнетение фермент гипоксантин-гуанин фосфорибозил-трансферазa;mechanism
кортикостероид;group
вазоконстрикторный действие;mechanism
почечный колика;side_e
экстрапирамидальный расстройство;side_e
изменение цвет кожа;side_e
адренорецептор β1 синаптический;mechanism
гиперкреатининемия;side_e
тахиаритмия;side_e
эксфолиативный дерматит;side_e
av блокада;side_e
уменьшать гипертрофия левый желудочек;action
нарушение со сторона синусовый пазуха;side_e
развитие острый почечный недостаточность;side_e
избирательно блокировать рецептор подтип AT1;mechanism
декомпенсация уже иметься сахарный диабет;side_e
карведилол;prepare
тяжёлый кожный аллергический реакция;side_e
гипоксия;side_e
кровотечение во время медицинский процедура;side_e
учащенное мочеиспускание;side_e
синдром «отмена»;side_e
раздражительность;side_e
тубулоинтерстициальный нефрит;side_e
повышение внутриклеточный концентрация циклический аденозинмонофосфат адренорецептор β;mechanism
перераспределение в область с снизить кровообращение;action
«сухой» кашель;side_e
риск;side_e
снижение ад;action
увеличение активность ренин в плазма кровь;mechanism
гипоксия ткань;side_e
повышенный утомляемость;side_e
расстройство личность;side_e
мультиформный эритема;side_e
отёк квинке;side_e
ангионевротический отек;side_e
судорога в икроножный мышца нога;side_e
метформин;prepare
«прилив» кровь к кожа лицо;side_e
снижение секреция альдостерон;action
ugt1a8;metabol
дегидратация;side_e
повышение риск ортостатический гипотензия;side_e
грейпфрутовый сок;prepare
экстрасистолия;side_e
охлаждение конечность;side_e
антиаритмический средство, удлинять интервал qt;group
уменьшать общий периферический сосудистый сопротивление;action
недомогание, возможно, связанный с брадикардия;side_e
устранять ингибирующее влияние на секреция ренин;action
раздражение глаз;side_e
тканевый активатор плазминоген в;group
эверолимус;prepare
подавление высвобождение альдостерон;action
пурпур;side_e
сосуд венозный;action
затрудненное и болезненное мочеиспускание;side_e
тромбоцит;side_e
спутанность сознание;side_e
ринит;side_e
гипертонический криз;side_e
угнетение реабсорбция;mechanism
ингибирование ih-канал;mechanism
острый респираторный дистресс-синдром;side_e
сыпь;side_e
ишемия головной мозг;side_e
снижение гематокрит;side_e
нарушение с стороны кожа;side_e
фозиноприл;prepare
повышение концентрация мочевина в плазма кровь;side_e
рамиприл глюкуронид;prepare
варфарина;prepare
фарингит;side_e
растворение кристалл мочевой кислота;action
не влиять на сократительный способность миокард;action
эритродермия;side_e
гипертриглицеридемия;side_e
действие антидиуретический;action
снижать реакция сосуд на катехоламин;mechanism
уменьшать работа сердце;action
ингибитор распад брадикинин;action
анорексия;side_e
появление положительный антинуклеарный антитело (ана);side_e
блокатор адренорецептор β1;mechanism
мерцание и трепетание предсердие;side_e
увеличение концентрация сывороточный креатинин;side_e
гематома;side_e
заложенность нос;side_e
чувство усталость;side_e
увеличивает почечный кровоток;action
кровоизлияние в кожа;side_e
анафилаксия;side_e
синусовый брадикардия;side_e
мышечный судорога;side_e
недержание моча у женщина, обратимый;side_e
нарушение функция почек;side_e
эритромицин;prepare
сосудорасширяющий действие;action
снижение градиентный фильтрация плазма в полость желудочек мозг;action
угнетать сосудистый компонент формирование болевой синдром;mechanism
улучшать кровоснабжение ишемизированный миокард;mechanism
развитие нарушение водный-электролитный баланс;side_e
«прилив» (прилив кровь к лицо);side_e
диплопия;side_e
уменьшать превращение ангиотензин i в ангиотензин ii;mechanism
гиперемия лицо;side_e
петехия;side_e
оказывать сосудорасширяющий действие;action
хроматурия;side_e
гепо-спленомегалия;side_e
рефлекторный снижение частота сердечный сокращение;action
атенолол;prepare
конъюнктивит;side_e
блокировать реабсорбция ион натрий и хлор в начало почечный каналец;mechanism
координация движение;side_e
альбумин;noun
противоподагрический препарат;group
аутоиммунный заболевание;side_e
антиаритмический действие;mechanism
метаболический алкалоз;side_e
кардиотонический средство негликозидный структура;group
влияние на показатель ад и общий периферический сосудистый сопротивление (опсс);action
повышаться активность ренин в плазма кровь;mechanism
угнетение цнс;side_e
нитратоподобный реакция;side_e
обострение системный красный волчанка;side_e
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;mechanism
звон в ухо;side_e
лейкоцитокластический васкулит;side_e
пемфигус;side_e
боль в область грудина и средостение;side_e
увеличивать транспортный ёмкость весь тип мембранный переносчик глюкоза;mechanism
высыпание на кожа;side_e
дерматит;side_e
нарушение экскреция урат почка;side_e
амлодипин;prepare
кровотечение из желудочнокишечный тракт;side_e
тетания;side_e
иммунодепрессант;group
ингибитор апф;mechanism
повышенный утомляемость с смена настроение, слабость, раздражительность, расстройство сон и др;side_e
рамиприл;prepare
центральный действие;action
цизаприд;prepare
восстановление эластичность крупный артерия;action
тремор;side_e
острый панкреатит;side_e
электролитный нарушение;side_e
адренергические и дофаминергические средства;group
ugt1a3;metabol
расширение сосуд;action
отрицательный дромотропный эффект;action
низкий аффинность рецептор 5-ht2;mechanism
обострение течение подагра;side_e
изофермент система цитохром р450 (изофермент cyp3a4);metabol
когнитивный нарушение/галлюцинация;side_e
соль литий;group
диафорез;side_e
вертигоощущение сердцебиение;side_e
повышение концентрация мочевина в кровь;side_e
пирексия;side_e
снижение реабсорбция эпителий каналец бикарбонат;action
сухость в рот;side_e
снижение вес;side_e
av проводимость (атриовентрикулярный проводимость);side_e
галофантрина;prepare
глюкозурия;side_e
блокатор кальциевый канал;group
активация рецепторзависимый аденилатциклаза;mechanism
развитие полиморфной желудочковой тахикардии типа «пируэт»;side_e
мелькание «мушка» перед глаз;side_e
инфаркт миокард;side_e
повышенный нервозность;side_e
лейкопения;side_e
кишечник;metabol
заболевание костный мозг;side_e
угнетение дыхание;side_e
гриппоподобный синдром;side_e
тахакардия;side_e
противоподагрические препараты;group
антагонист рецептор ангиотензин ii;group
дискомфорт в область желудок;side_e
гипокальциемия;side_e
пузырчатка;side_e
рабдомиолиз;side_e
псевдолимфома кожа;side_e
синоаурикулярный (sa) блокада;side_e
повышение тонус мышца;side_e
боль в мышца;side_e
толерантность;side_e
насильственный подёргивание мышца;side_e
лекарственный зависимость;side_e
вульвовагинит;side_e
снижать кровоснабжение внутренний орган;action
повышение температура тело;side_e
чихание;side_e
расслаблять гладкомышечный клетка мочевыводящий путь;action
гепатоцеллюлярный поражение;side_e
паралич;side_e
гамма-глутамилтрансфераза (ггт);side_e
нарушение вкус;side_e
тиннитус;side_e
воздействие на ренин-ангиотензинальдостероновый система (раас);mechanism
повышение содержание калий в сыворотка кровь;side_e
психоаналептик;group
задержка моча;side_e
преходящий нечёткость зрение;side_e
повышаться риск развитие гиперкалиемия;side_e
уменьшать потребность миокард в кислород;action
реакция повышать чувствительность;side_e
эналаприл;prepare
уменьшение концентрация ангиотензин ii;mechanism
ивабрадин;prepare
усугубление течение псориаз;side_e
изменение картина периферический кровь;side_e
олигоспермия;side_e
ингибировать трансмембранный переход ион кальций в кардиомиоцит;mechanism
риск образование конкрементов в моча;side_e
повышение концентрация калий в сыворотка кровь;side_e
белок плазма кровь;prot_link
желудочковый или наджелудочковый аритмия;side_e
увеличение активность «печёночный» трансаминаза;side_e
обесцвечивание волос;side_e
суицидальный мысль;side_e
усиление отрицательный инотропный действие;side_e
диуретическое средство;group
парестезии;side_e
зевательный судорога;side_e
цитохром cyp3a4;metabol
прессорный действие;side_e
канренон;metabol
антиангинальный действие;mechanism
средства для лечения заболеваний сердца;group
повышать утилизация глюкоза клетка;mechanism
мужское бесплодие;side_e
почечная недостаточность;side_e
опоясывать герпес;side_e
действие жаропонировать;action
сужение зрачок;side_e
корытообразный депрессия сегмент st;side_e
увеличиваться выведение ион магний;action
не оказывать фармакокинетика и фармакодинамика;action
спазм в желудок;side_e
интестинальный отёк;side_e
av блокада ii и iii степень;side_e
желудочнокишечный тракт;absorbtion
ангионевротический отек в виде отека губ или языка;side_e
ингибировать трансмембранный переход ион кальций гладкомышечный клетка сосудистый стенка;mechanism
снижение концентрация ангиотензин ii в плазма кровь;mechanism
удлинение корригировать интервал qtc;side_e
фибрилляция желудочек с летальный исход и коллапс;side_e
увеличение диурез;action
светобоязнь;side_e
увеличение скорость оседание эритроцит (соэ);side_e
печени;metabol
снижение острота зрение;side_e
отек;side_e
адренорецептор;mechanism
боль;side_e
удлинение интервал qt на экг;side_e
параплегия;side_e
не биотрансформироваться в организм;metabol
саксаглиптин;prepare
другой кожный реакция;side_e
снижение внутриглазный давление;action
задержка мочеиспускание;side_e
ночные кошмары;side_e
повышение активность «печёночный» фермент;side_e
снижение реакция гладкий мускулатура сосуд на вазоконстрикторный воздействие;mechanism
трансмембранный перенос ион;action
минералокортикостероид;group
действие анальгезирующий;action
зверобой продырявить;prepare
положительный инотропный действие;action
подавление активность неприлизин;mechanism
итраконазол;prepare
селективный ингибитор обратный захват серотонин;group
раздражение слизистый оболочка желудок, вкус;side_e
изжога;side_e
изопротеренол;prepare
препарат золото;group
язва;side_e
артрит;side_e
эйфория;side_e
нефротоксический действие;side_e
кожный сыпь;side_e
повышает скорость клубочковой фильтрации;action
синдром «беспокойный нога»;side_e
снижение содержание ион натрий;action
повышение активность «печёночный» фермент в плазма кровь;side_e
повышение концентрация триглицерид в сыворотка кровь;side_e
гипербилирубинемия;side_e
тревожное состояние;side_e
центральный действие замедлять сердечный ритм;action
ингибитор гмг-коа редуктаз;group
панический атака;side_e
головокружеие;side_e
ингибитор поздний ток ион натрий в клетка миокард;mechanism
лизиноприл;prepare
послеродовой кровотечение;side_e
трициклический антидепрессант;group
усиливает гликогенолиз;action
на центральный нервный система;side_e
эректильный дисфункция;side_e
кольцевидный эритема;side_e
дисфония;side_e
улучшение кровоснабжение миокард;action
метаболический ацидоз;side_e
расширение сосуды скелетный мускулатура;action
лекарственный средство (лс), удлинять интервал qt;group
снижать желудочно-кишечный тракт тонус;action
антагонист альдостерона;mechanism
сохранять энергетический метаболизм клеток;action
снижение гемоглобина и гематокрита;side_e
усиление выведение ион бикарбонат;mechanism
подавлять негативный эффект ангиотензин ii сердечно-сосудистый система;action
уменьшать кровенаполнение пещеристый тело;action
замедление атриовентрикулярный проводимость;side_e
линаглиптина;prepare
панкреатит;side_e
снижаться работа сердце и уменьшаться потребность миокард в кислород;action
эсциталопрам;prepare
полиморфный желудочковый тахикардия тип «пируэт»;side_e
антигипертензивный эффект;action
уменьшать гипертрофия левый желудочек;mechanism
снижение транспорт натрий внутрь клетка проксимальный отдел нефрон;action
антигипертензивное действие;action
сердечный недостаточность;side_e
гепато-спленомегалия;side_e
удлинение интервал qt;side_e
фульминантный некроз печень;side_e
припухлость сустав;side_e
триметазидин;prepare
хождение во сне;side_e
повышенный потливость;side_e
при одновременный применение;noun
увеличиваться активность калликреин-кининовый система тканевый;mechanism
ренин в плазма кровь;mechanism
многоформный эритема;side_e
синдром стивенс-джонсон;side_e
лактоацидоз;side_e
печень;metabol
мочекаменная болезнь;side_e
указанный лекарственный средство;noun
эритема;side_e
постуральной головокружение;side_e
анафилактический и анафилактоидный реакция;side_e
флуконазол;prepare
лёгочный инфильтрат;side_e
снижать концентрация общий холестерин;mechanism
снижаться секреция альдостерон;mechanism
антитромботический средство;group
болевой синдром;side_e
риск развитие гиперкалиемия;side_e
эозинофильный пневмонит;side_e
желудочковый экстрасистолия (бигеминий, политопный желудочковый экстрасистолия);side_e
боль в желудок;side_e
психотический расстройство;side_e
гипоперфузия;side_e
эритроцитами;prot_link
гипестезия;side_e
повышение артериальный давление диастолический;action
астенический синдром;side_e
гипогликемический действие;mechanism
мышечный сокращение;side_e
увеличение секреция калий в дистальный часть почечный каналец;action
гематологический нарушение;side_e
повышать утомляемость;side_e
миотония;side_e
снижать выработка глюкоза печень;mechanism
нарушение функция печень;side_e
усиление психологический эффект;mechanism
снижение гемоглобин;side_e
сохранение клеточный гомеостаз;action
постнагрузка;action
расслаблять гладкомышечный клетка тонкий и толстой кишечник;action
увеличение синтез простагландин е2;mechanism
средство, действовать на ренинангиотензиновый система;group
действие гипотензивный;action
походка;side_e
поллакиурия;side_e
аменорея;side_e
депрессия;side_e
холестаз (включая желтуха);side_e
потребность миокард в кислород;mechanism
подавлять агрегация тромбоцит;mechanism
гиперчувствительность (аллергический реакция);side_e
непереносимость препарат;side_e
нарушение со стороны полости рта;side_e
увеличивать синтез простагландин;mechanism
ингибирование карбоангидраза;mechanism
отек лицо;side_e
аспартатаминотрансфераза (аста);side_e
препарат, не влиять на метаболизм мочевой кислота;group
увеличивать выведение ион натрий и хлор;mechanism
паранойя;side_e
уменьшение выделение альдостерон;mechanism
блокатор адренорецептор β2;mechanism
аллергический дерматит;side_e
тик;side_e
глоссит;side_e
действие седативный;action
холестатический желтуха;side_e
артериальная гипотензия;side_e
анафилактоидный реакция;side_e
снижать общее периферическое сосудистое сопротивление;action
шок (у пациент с бронхиальный астма);side_e
недостаточность витамин в 12;side_e
уменьшение слезоотделение;side_e
желудочно-кишечный кровотечение;side_e
тошнота;side_e
антиаритмический действие;action
панцитопения;side_e
окрашивание видимый предмет в жёлтый-зелёный цвет;side_e
паросмий (восприятие запах);side_e
гиперемия кожа лицо;side_e
нарушения зрения;side_e
кровоточивость десен;side_e
вагинальный кандидоз;side_e
гинекомастия;side_e
головный боль;side_e
псориаз;side_e
кандесартан;prepare
нарушение действие;action
вызывать увеличение активность ренин в плазма кровь;mechanism
снижать артериальный давление;action
повышение активность ренин плазма кровь;action
обморок;side_e
ингибитор cyp3a4;group
быстро и практически полностью всасываться в желудочный-кишечный тракт после приём внутрь;absorbtion
эплеренон;prepare
препятствовать задержка натрий;mechanism
повышать артериальный давление;action
повышение концентрация креатинин в сыворотка кровь;side_e
небиволол;prepare
действие противовоспалительный;action
анафилактический шок;side_e
метаболизироваться в печень;metabol
уменьшение вазопрессорный активность;action
профузный диарея;side_e
неустойчивость походка;side_e
снижать образование амилоидный фибрилл;mechanism
увеличивать поступление кислород в миокард;action
ранолазин;prepare
ажитация;side_e
ощущение сдавление в горло;side_e
калийсберегающий диуретик;mechanism
снижение концентрация ангиотензин ii;action
порфириягиперхлоремический ацидоз;side_e
ортостатическая гипотензия;side_e
поведение агрессивный;side_e
увеличение активность блуждать нерв;mechanism
бмкк;group
ii-iv класс по классификация nyha;noun
бессимптомное увеличение концентрации печеночных ферментов;side_e
нервозность;side_e
подавляет клеточное деление в стадии метафаза;mechanism
гипогликемический средство;group
клинически значимый влияние на он метаболизм и фармакокинетический свойство;metabol
вазодилатировать;action
мышечный кровоизлияние;side_e
кишечный непроходимость;side_e
ощущение;side_e
симпатолитический действие;mechanism
сужать сосуд;action
сокращение сфинктер желчевыводить путь;side_e
низкий аффинность рецептор бензодиазепин;mechanism
некроз ткань;side_e
желчь;excretion
нарушение пищеварение;side_e
сывороточный болезнь;side_e
метеоризм;side_e
острый генерализ ованный экзантематозный пустулёз;side_e
воздействовать на гликогенсинтаз;mechanism
формирование камень в почка;side_e
развитие кровотечение;side_e
повышение тонус;side_e
тремор палец рука;side_e
нарушение память;side_e
триамтерен;prepare
фибрилляция желудочек;side_e
восстановление эластичность крупный артерия;mechanism
уменьшать потребность;action
вазоконстрикция;action
общее недомогание;side_e
повышение рефрактерность атриовентрикулярный (av) узел;mechanism
ощущение жжение;side_e
внутрь;absorbtion
увеличение молочный железа;side_e
диуретический средство;group
антиагрегантный средство;group
антиангинальный;action
антидиуретический гормон;hormone
адренорецептор β1;mechanism
гипотензивный эффект;side_e
мидриаз;side_e
парентерально;absorbtion
симптом депрессия;side_e
ситаглиптин;prepare
бетаадреноблокатор;group
некротизировать ангиит (васкулит и кожный васкулит);side_e
с значительный уменьшение рабочий произведение (чсс × систолический ад), причём как в покой, так и при физический нагрузка;action
сертиндол;prepare
гипотензивный препарат;group
кровоизлияние;side_e
блокирует захват серотонина тромбоцитами;mechanism
беспокойство;side_e
пимозид;prepare
тиазидный диуретик;group
таллий хлорид (tl 201);prepare
снижение и повышениесердечный сокращение;side_e
дикетопиперазин;prepare
тромбоцитопенический пурпур;side_e
повышение титр антинуклеарный антитело;side_e
волчаночноподобный изменение кожибуллезный;side_e
калийсберегающий диуретик;group
серотониновый синдром;side_e
структура сосудистый стенка мелкий артерия;mechanism
церебральный ишемия;side_e
повышение тонус мышца сфинктер мочевой пузырь;side_e
уменьшать образование ангиотензин II;action
белками плазмы крови;prot_link
ugt2b7;metabol
сонливость;side_e
сердечно-сосудистый заболеваемость;side_e
наркотический;group
гипохлоремический алкалоз;side_e
подавление высвобождение ренин;action
суицидальные мысли/поведение;side_e
нарушение периферический кровообращение;side_e
повышение активность калликреин-кининовой система кровь;mechanism
снижение число лейкоцит;side_e
антиишемический эффект;action
местный реакция в вид боль;side_e
гранулёма в область кончик катетер;side_e
синкопе;side_e
увеличение скорость клубочковая фильтрация;action
двигательный беспокойство;side_e
обострение течение системный красный волчанка;side_e
уменьшение образование угольный кислота;action
атриовентрикулярный блокада;side_e
увеличение центральный венозный давление;action
прямой действие на атриовентрикулярный узел;mechanism
изменения частоты дефекации и характера стула;side_e
стимулировать действие α-адренорецептор периферический сосуд;mechanism
восстановление структура сосудистый стенка мелкий артерия;action
постуральный гипотензия;side_e
не оказывать клинически значимый влияние на фармакокинетика;action
остановка сердце;side_e
поведение панический;side_e
увеличение коронарный кровоток;action
увеличение количество выделять моча;action
уменьшать градиентный фильтрация плазма в полость желудочек мозг;action
уменьшать опсс;action
транзиторный миопия;side_e
звон;side_e
снижать преднагрузка;mechanism
увеличивать почечный кровоток;mechanism
отек лодыжек;side_e
увеличение концентрация мочевой кислота в кровь;side_e
другой препарат для лечение заболевание сердце;group
вызывает выведение магний;action
гипохлоремия;side_e
астения;side_e
периндоприлат;prepare
снижение артериальный давление (АД);action
ишемия миокард;side_e
