"drug";"effect";"frequency";"max_probability";"min_probability"
Аллопуринол;невропатия;Очень редко;0.0001;0.0
Аллопуринол;извращение вкус;Очень редко;0.0001;0.0
Аллопуринол;неврит;Очень редко;0.0001;0.0
Аллопуринол;путаница;Часто неизвеста;;
Аллопуринол;капля нога;Часто неизвеста;;
Аллопуринол;эпилептический припадок;Часто неизвеста;;
Аллопуринол;миоклонус;Часто неизвеста;;
Аллопуринол;миокимия;Часто неизвеста;;
Аллопуринол;инфаркт мозг;Часто неизвеста;;
Аллопуринол;инсульт;Часто неизвеста;;
Аллопуринол;тремор;Часто неизвеста;;
Аллопуринол;зрительный расстройство;Очень редко;0.0001;0.0
Аллопуринол;катаракт;Очень редко;0.0001;0.0
Аллопуринол;макулярный изменение;Очень редко;0.0001;0.0
Аллопуринол;зрительный неврит;Часто неизвеста;;
Аллопуринол;фурункулёз;Очень редко;0.0001;0.0
Аллопуринол;ангиоиммунобластический лимфаденопатия;Очень редко;0.0001;0.0
Аллопуринол;учащение острый приступ подагра;Не часто;;
Аллопуринол;сахарный диабет;Очень редко;0.0001;0.0
Аллопуринол;гиперлипидемия;Очень редко;0.0001;0.0
Аллопуринол;гиперкальциемия;Часто неизвеста;;
Аллопуринол;гипокальциемия;Часто неизвеста;;
Аллопуринол;гиперфосфатемий;Часто неизвеста;;
Аллопуринол;гипокалиемия;Часто неизвеста;;
Аллопуринол;гиперурикемия;Часто неизвеста;;
Аллопуринол;нарушение электролитный баланс;Часто неизвеста;;
Аллопуринол;гипергликемия;Часто неизвеста;;
Аллопуринол;гипернатриемия;Часто неизвеста;;
Аллопуринол;метаболический ацидоз;Часто неизвеста;;
Аллопуринол;гликосурия;Часто неизвеста;;
Аллопуринол;гиперкалиемия;Часто неизвеста;;
Аллопуринол;лакциноцидоз;Часто неизвеста;;
Аллопуринол;отравление вода;Часто неизвеста;;
Аллопуринол;гипомагнесемия;Часто неизвеста;;
Аллопуринол;миопатия;Редко;0.001;0.0001
Аллопуринол;артралгиас;Редко;0.001;0.0001
Аллопуринол;некротический ангит;Не часто;;
Аллопуринол;васкулит;Не часто;;
Аллопуринол;отёк;Не часто;;
Аллопуринол;стенокардия;Очень редко;0.0001;0.0
Аллопуринол;брадикардия;Очень редко;0.0001;0.0
Аллопуринол;гипертония;Очень редко;0.0001;0.0
Аллопуринол;перикардит;Часто неизвеста;;
Аллопуринол;периферийный сосудистый заболевание;Часто неизвеста;;
Аллопуринол;вазодилатация;Часто неизвеста;;
Аллопуринол;сердечный недостаточность;Часто неизвеста;;
Аллопуринол;кардиореспираторный арест;Часто неизвеста;;
Аллопуринол;снижение венозный давление;Часто неизвеста;;
Аллопуринол;покраснение кожа;Часто неизвеста;;
Аллопуринол;сердечно-сосудистый расстройство;Часто неизвеста;;
Аллопуринол;аномалия экг;Часто неизвеста;;
Аллопуринол;кровоизлияние;Часто неизвеста;;
Аллопуринол;желудочковый фибрилляция;Часто неизвеста;;
Аллопуринол;гинекомастие;Не часто;;
Аллопуринол;бесплодие;Не часто;;
Аллопуринол;импотенция;Не часто;;
Аллопуринол;ночной эмиссия;Не часто;;
Аллопуринол;уремия;Очень редко;0.0001;0.0
Аллопуринол;гематурия;Очень редко;0.0001;0.0
Аллопуринол;мужской бесплодие;Очень редко;0.0001;0.0
Аллопуринол;эректильный дисфункция;Очень редко;0.0001;0.0
Аллопуринол;инфекция мочевыводящий путь;Часто неизвеста;;
Аллопуринол;реакция в место инъекция;Часто неизвеста;;
Аллопуринол;высокий температура;Не часто;;
Аллопуринол;общий недомогание;Не часто;;
Аллопуринол;астения;Не часто;;
Аллопуринол;головокружение;Очень редко;0.0001;0.0
Аллопуринол;шум в ухо;Часто неизвеста;;
Аллопуринол;депрессия;Очень редко;0.0001;0.0
Аллопуринол;амнезия;Часто неизвеста;;
Аллопуринол;бессонница;Часто неизвеста;;
Аллопуринол;ажитация;Часто неизвеста;;
Аллопуринол;эпистаксис;Редко;0.001;0.0001
Аллопуринол;бронхоспазм;Часто неизвеста;;
Аллопуринол;астма;Часто неизвеста;;
Аллопуринол;фарингит;Часто неизвеста;;
Аллопуринол;ринит;Часто неизвеста;;
Аллопуринол;дыхательный недостаточность;Часто неизвеста;;
Аллопуринол;острый респираторный дистресс-синдром;Часто неизвеста;;
Аллопуринол;увеличение частота дыхание;Часто неизвеста;;
Аллопуринол;апноэ;Часто неизвеста;;
Амиодарон;гипотония;Очень часто;1.0;0.1
Амиодарон;брадикардия;Часто;0.1;0.01
Амиодарон;снижение кровяной давление;Часто;0.1;0.01
Амиодарон;конгестивный сердечный недостаточность;Часто;0.1;0.01
Амиодарон;остановка сердце;Часто;0.1;0.01
Амиодарон;желудочковый тахикардия;Часто;0.1;0.01
Амиодарон;сердечный аритмия;Часто;0.1;0.01
Амиодарон;дисфункция синоатриальный узел;Часто;0.1;0.01
Амиодарон;покраснение кожа;Часто;0.1;0.01
Амиодарон;нарушение проводимость;Не часто;;
Амиодарон;отметить брадикардия;Очень редко;0.0001;0.0
Амиодарон;синусовый остановка;Очень редко;0.0001;0.0
Амиодарон;васкулит;Очень редко;0.0001;0.0
Амиодарон;горячий прилив;Очень редко;0.0001;0.0
Амиодарон;торсад де пойнтёс;Часто неизвеста;;
Амиодарон;обморок;Часто неизвеста;;
Амиодарон;мерцательный аритмия;Часто неизвеста;;
Амиодарон;нодальный аритмия;Часто неизвеста;;
Амиодарон;удлинённый интервал qt;Часто неизвеста;;
Амиодарон;синусовый брадикардия;Часто неизвеста;;
Амиодарон;желудочковый фибрилляция;Часто неизвеста;;
Амиодарон;шок;Часто неизвеста;;
Амиодарон;асистоль;Часто неизвеста;;
Амиодарон;безпульсный электрический активность;Часто неизвеста;;
Амиодарон;кардиогенный шок;Часто неизвеста;;
Амиодарон;атриовентрикулярный блокада;Часто неизвеста;;
Амиодарон;сильный гипотензия;Часто неизвеста;;
Амиодарон;синоатриальный блокада;Данные о частоте, собранные после продажи;;
Амиодарон;нарушение внутрисердечный проводимость;Данные о частоте, собранные после продажи;;
Амиодарон;блокада ветвь пучок;Данные о частоте, собранные после продажи;;
Амиодарон;инфрахисовый блокада;Данные о частоте, собранные после продажи;;
Амиодарон;желудочковый экстрасистоль;Данные о частоте, собранные после продажи;;
Амиодарон;острый заболевание печень с высокий уровень сывороточный трансаминаза и/или желтуха, включая печёночный недостаточность;Часто;0.1;0.01
Амиодарон;аномальный показатель функция печень;Часто;0.1;0.01
Амиодарон;беспецифический печёночный расстройство;Часто;0.1;0.01
Амиодарон;псевдоалкологический гепатит;Очень редко;0.0001;0.0
Амиодарон;цирроз;Очень редко;0.0001;0.0
Амиодарон;увеличение трансаминаз в сыворотка;Очень редко;0.0001;0.0
Амиодарон;увеличение алта;Часто неизвеста;;
Амиодарон;повышенный уровень аста;Часто неизвеста;;
Амиодарон;холестатический гепатит;Данные о частоте, собранные после продажи;;
Амиодарон;холестаз;Данные о частоте, собранные после продажи;;
Амиодарон;желтуха;Данные о частоте, собранные после продажи;;
Амиодарон;повышение уровень щелочной фосфатаз;Данные о частоте, собранные после продажи;;
Амиодарон;повышенный уровень лактатдегидрогеназа в кровь;Данные о частоте, собранные после продажи;;
Амиодарон;гепатит;Данные о частоте, собранные после продажи;;
Амиодарон;пульмональный токсичность;Часто;0.1;0.01
Амиодарон;воспаление или фиброз лёгкий;Часто;0.1;0.01
Амиодарон;острый респираторный синдром у взрослый;Часто;0.1;0.01
Амиодарон;бронхоспазм;Очень редко;0.0001;0.0
Амиодарон;интерстициальный пневмонит;Очень редко;0.0001;0.0
Амиодарон;тяжёлый респираторный осложнение;Очень редко;0.0001;0.0
Амиодарон;апноэ;Очень редко;0.0001;0.0
Амиодарон;лёгочный кровоизлияние;Часто неизвеста;;
Амиодарон;отёк лёгкий;Часто неизвеста;;
Амиодарон;респираторный расстройство;Часто неизвеста;;
Амиодарон;альвеолярный пневмонит;Часто неизвеста;;
Амиодарон;возможно смертельный нарушение дыхание;Данные о частоте, собранные после продажи;;
Амиодарон;бронхиолит-облитерирующий с организующийся пневмония, boop;Данные о частоте, собранные после продажи;;
Амиодарон;одышка;Данные о частоте, собранные после продажи;;
Амиодарон;кашель;Данные о частоте, собранные после продажи;;
Амиодарон;кровохаркание;Данные о частоте, собранные после продажи;;
Амиодарон;свистящий дыхание;Данные о частоте, собранные после продажи;;
Амиодарон;гипоксия;Данные о частоте, собранные после продажи;;
Амиодарон;лёгочный инфильтрат;Данные о частоте, собранные после продажи;;
Амиодарон;образование в лёгкий;Данные о частоте, собранные после продажи;;
Амиодарон;плеврит;Данные о частоте, собранные после продажи;;
Амиодарон;лёгочный фосфолипидоз;Данные о частоте, собранные после продажи;;
Амиодарон;плевральный выпот;Данные о частоте, собранные после продажи;;
Амиодарон;эозинофильный пневмония;Данные о частоте, собранные после продажи;;
Амиодарон;острый респираторный дистресс-синдром;Данные о частоте, собранные после продажи;;
Амиодарон;микродепозит роговица;Очень часто;1.0;0.1
Амиодарон;нарушение зрение;Часто;0.1;0.01
Амиодарон;оптический нейропатия/неврит;Очень редко;0.0001;0.0
Амиодарон;постоянный слепота;Часто неизвеста;;
Амиодарон;папиллоэдем;Часто неизвеста;;
Амиодарон;дегенерация роговица;Часто неизвеста;;
Амиодарон;дискомфорт глаз;Часто неизвеста;;
Амиодарон;скотома;Часто неизвеста;;
Амиодарон;помутнение хрусталик;Часто неизвеста;;
Амиодарон;макулярный дегенерация;Часто неизвеста;;
Амиодарон;кератопатия;Часто неизвеста;;
Амиодарон;песок в глаз;Часто неизвеста;;
Амиодарон;зуд;Часто неизвеста;;
Амиодарон;сжигание;Часто неизвеста;;
Амиодарон;дефект поле зрение;Данные о частоте, собранные после продажи;;
Амиодарон;размытый зрение;Данные о частоте, собранные после продажи;;
Амиодарон;светочувствительность;Очень часто;1.0;0.1
Амиодарон;серо-голубой или синеватый пигментация на кожа, подвергнуться воздействие свет;Часто;0.1;0.01
Амиодарон;эритема;Очень редко;0.0001;0.0
Амиодарон;сыпь;Очень редко;0.0001;0.0
Амиодарон;отшелушиваться дерматит;Очень редко;0.0001;0.0
Амиодарон;алопеция;Очень редко;0.0001;0.0
Амиодарон;потоотделение;Очень редко;0.0001;0.0
Амиодарон;гранулёма;Часто неизвеста;;
Амиодарон;ангионевротический образование;Часто неизвеста;;
Амиодарон;крапивница;Часто неизвеста;;
Амиодарон;синдром стивенс-джонсон;Часто неизвеста;;
Амиодарон;спонтанный экхимоза;Часто неизвеста;;
Амиодарон;усиленный пустулёзный псориаз;Часто неизвеста;;
Амиодарон;токсический эпидермальный некролиз;Данные о частоте, собранные после продажи;;
Амиодарон;многоформенный экссудативный эритема;Данные о частоте, собранные после продажи;;
Амиодарон;рак кожа;Данные о частоте, собранные после продажи;;
Амиодарон;буллезный дерматит;Данные о частоте, собранные после продажи;;
Амиодарон;сыпь с эозинофилия и системный симптом;Данные о частоте, собранные после продажи;;
Амиодарон;экзема;Данные о частоте, собранные после продажи;;
Амиодарон;экстрапирамидный симптом;Часто;0.1;0.01
Амиодарон;экстрапирамидный тремор;Часто;0.1;0.01
Амиодарон;тремор/аномальный непроизвольный движение;Часто;0.1;0.01
Амиодарон;наружение координация;Часто;0.1;0.01
Амиодарон;аномалия походка/атаксия;Часто;0.1;0.01
Амиодарон;головокружение;Часто;0.1;0.01
Амиодарон;парестезия;Часто;0.1;0.01
Амиодарон;головной боль;Часто;0.1;0.01
Амиодарон;нарушение вкус и обоняние;Часто;0.1;0.01
Амиодарон;периферический сенсомоторный невропатия;Не часто;;
Амиодарон;атаксия мозжечок;Очень редко;0.0001;0.0
Амиодарон;доброкачественный внутричерепной гипертензия;Очень редко;0.0001;0.0
Амиодарон;периферический невропатия;Часто неизвеста;;
Амиодарон;демиелинизировать полинеропатия;Часто неизвеста;;
Амиодарон;аномалия проводимость нерв;Часто неизвеста;;
Амиодарон;нейролипидоза;Часто неизвеста;;
Амиодарон;нейромиопатия;Часто неизвеста;;
Амиодарон;паросмий;Часто неизвеста;;
Амиодарон;состояние спутанность сознание;Данные о частоте, собранные после продажи;;
Амиодарон;дезориентация;Данные о частоте, собранные после продажи;;
Амиодарон;бред;Данные о частоте, собранные после продажи;;
Амиодарон;повышенный внутричерепной давление;Данные о частоте, собранные после продажи;;
Амиодарон;гипестезия;Данные о частоте, собранные после продажи;;
Амиодарон;паркинсонический симптом;Данные о частоте, собранные после продажи;;
Амиодарон;кошмар;Часто;0.1;0.01
Амиодарон;нарушение сон;Часто;0.1;0.01
Амиодарон;снижение либидо;Часто;0.1;0.01
Амиодарон;бессонница;Часто;0.1;0.01
Амиодарон;яркий сон;Часто неизвеста;;
Амиодарон;хронический тревога;Часто неизвеста;;
Амиодарон;галлюцинация;Данные о частоте, собранные после продажи;;
Амиодарон;тошнота;Часто;0.1;0.01
Амиодарон;запор;Часто;0.1;0.01
Амиодарон;боль в живот;Часто;0.1;0.01
Амиодарон;аномальный слюноотделение;Часто;0.1;0.01
Амиодарон;рвота;Часто неизвеста;;
Амиодарон;дисгевзия;Часто неизвеста;;
Амиодарон;диарея;Часто неизвеста;;
Амиодарон;панкреатит;Данные о частоте, собранные после продажи;;
Амиодарон;острый панкреатит;Данные о частоте, собранные после продажи;;
Амиодарон;сухость в рот;Данные о частоте, собранные после продажи;;
Амиодарон;высокий температура;Часто;0.1;0.01
Амиодарон;недомогание;Часто;0.1;0.01
Амиодарон;усталость;Часто;0.1;0.01
Амиодарон;гипотиреоз;Очень часто;1.0;0.1
Амиодарон;гипертиреоз;Часто;0.1;0.01
Амиодарон;синдром неадекватный секреция антидиуретический гормон;Очень редко;0.0001;0.0
Амиодарон;аномальный результат тест функция щитовидный железа;Часто неизвеста;;
Амиодарон;узел/рак щитовидный железа;Данные о частоте, собранные после продажи;;
Амиодарон;анорексия;Часто;0.1;0.01
Амиодарон;отёк;Часто;0.1;0.01
Амиодарон;увеличение вес;Часто неизвеста;;
Амиодарон;симптоматический гиперкальциемия;Часто неизвеста;;
Амиодарон;снижение аппетит;Часто неизвеста;;
Амиодарон;коагуляционный аномалия;Часто;0.1;0.01
Амиодарон;гемолитический анемия;Очень редко;0.0001;0.0
Амиодарон;апластический анемия;Очень редко;0.0001;0.0
Амиодарон;тромбоцитопения;Очень редко;0.0001;0.0
Амиодарон;гранулёма костный мозг;Часто неизвеста;;
Амиодарон;депрессия костный мозг;Часто неизвеста;;
Амиодарон;панситопения;Данные о частоте, собранные после продажи;;
Амиодарон;нейтропения;Данные о частоте, собранные после продажи;;
Амиодарон;агранулоцитоз;Данные о частоте, собранные после продажи;;
Амиодарон;гранулоцитоз;Данные о частоте, собранные после продажи;;
Амиодарон;мышечный слабость;Часто;0.1;0.01
Амиодарон;боль в спина;Часто неизвеста;;
Амиодарон;миопатия;Данные о частоте, собранные после продажи;;
Амиодарон;рабдомиолиз;Данные о частоте, собранные после продажи;;
Амиодарон;мышечный спазм;Данные о частоте, собранные после продажи;;
Амиодарон;синдром, подобный красный волчанка;Данные о частоте, собранные после продажи;;
Амиодарон;реакция в место инъекция;Часто;0.1;0.01
Амиодарон;эпидидимо-орхит;Очень редко;0.0001;0.0
Амиодарон;импотенция;Очень редко;0.0001;0.0
Амиодарон;эпидидимит;Данные о частоте, собранные после продажи;;
Амиодарон;анафилактический шок;Очень редко;0.0001;0.0
Амиодарон;реакция гиперчувствительность;Часто неизвеста;;
Амиодарон;положительный антитело к ядро;Часто неизвеста;;
Амиодарон;увеличение уровеня иммуноглобулин;Часто неизвеста;;
Амиодарон;анафилактический/анафилактоидный реакция;Данные о частоте, собранные после продажи;;
Амиодарон;увеличение креатинин в кровь;Очень редко;0.0001;0.0
Амиодарон;нарушение функция почка;Часто неизвеста;;
Амиодарон;ухудшение хронический почечный недостаточность;Часто неизвеста;;
Амиодарон;почечный недостаточность;Данные о частоте, собранные после продажи;;
Амиодарон;острый почечный недостаточность;Данные о частоте, собранные после продажи;;
