оригинал;перевод
blistering, peeling, or loosening of the skin;волдырь, очистка или ослабление кожи
blood in the urine or stools;кровь в моче или табуретах
blurred vision;размытое зрение
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
chest pain or discomfort;боль в груди или дискомфорт
chills;озноб
cold and clammy skin;холодная и липкая кожа
cold sweats;Холодные поты
confusion;путаница
cough;кашель
dark yellow urine;Темно -желтая моча
diarrhea;диарея
dilated neck veins;Расширенные вены шеи
dizziness or lightheadedness when getting up from a lying or sitting position;головокружение или легкомысленность, когда встают из лжи или сидящего положения
extra heartbeats;Дополнительное сердцебиение
fainting;обморок
fever;высокая температура
itching of the skin;зуд кожи
joint or muscle pain;боли в суставах или мышцах
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
numbness and tingling of the face, fingers, or toes;онемение и покалывание лица, рук или ног
pain in the arms, legs, or lower back, especially pain in the calves or heels upon exertion;боль в руках, ногах или нижней части спины, особенно боль в телятах или каблуках при применении
painful or difficult urination;болезненное или трудное мочеиспускание
pale, bluish-colored, or cold hands or feet;бледные, голубоватые или холодные руки или ноги
pinpoint red or purple spots on the skin;Определите красные или фиолетовые пятна на коже
red, irritated eyes;красные, раздраженные глаза
redness of the face, neck, arms, and occasionally, upper chest;покраснение лица, шеи, рук и иногда, верхняя грудь
redness, soreness or itching skin;покраснение, болезненность или зудящая кожа
shakiness in the legs, arms, hands, or feet;шаттин в ногах, руках, руках или ногах
slow or irregular heartbeat;Медленное или нерегулярное сердцебиение
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
sores, welting, or blisters;язвы, смазывание или волдыри
sudden sweating;Внезапное потливость
sweating;потоотделение
swelling of the face, fingers, feet, or lower legs;отек лица, пальцев, ног или нижних ног
swollen glands;опухшие железы
trembling or shaking of the hands or feet;дрожь или дрожание рук или ног
unsteadiness or awkwardness;неустойчивость или неловкость
unusual bleeding or bruising;необычное кровотечение или синяки
unusual tiredness or weakness;необычная усталость или слабость
weak or absent pulses in the legs;слабые или отсутствующие импульсы в ногах
weakness in the arms, hands, legs, or feet;Слабость в руках, руках, ногах или ногах
weight gain;увеличение веса
yellow eyes or skin;желтые глаза или кожа
clay-colored stools;глиняный стул
difficulty with speaking;трудность с выступлением
drooling;слюни
headache;головная боль
loss of appetite;потеря аппетита
loss of balance control;Потеря контроля баланса
muscle trembling, jerking, or stiffness;дрожание мышц, дрожание или жесткость
nausea;тошнота
rash;сыпь
shuffling walk;перетасовать прогулку
stomach pain;боль в животе
twisting movements of the body;Скручивающие движения тела
uncontrolled movements, especially of the face, neck, and back;неконтролируемые движения, особенно лица, шею и спины
unpleasant breath odor;Неприятный запах дыхания
vomiting of blood;рвота крови
yellow eyes or skin;желтые глаза или кожа
acid or sour stomach;кислотный или кислый желудок
belching;отрыжка
feeling of warmth;чувство тепла
heartburn;изжога
indigestion;расстройство желудка
lack or loss of strength;Недостаток или потеря силы
muscle cramps;мышечные спазмы
redness of the face, neck, arms, and occasionally, upper chest;покраснение лица, шеи, рук и иногда, верхняя грудь
sleepiness or unusual drowsiness;сонливость или необычная сонливость
stomach discomfort, upset, or pain;дискомфорт в животе, расстройство или боль
abnormal dreams;ненормальные мечты
anxiety;беспокойство
back pain;боль в спине
bad unusual or unpleasant (after) taste;плохой необычный или неприятный (после) вкус
bleeding gums;кровоточащие десны
blistering, crusting, irritation, itching, or reddening of the skin;волдырь, корка, раздражение, зуд или покраснение кожи
bloating;вздутие живота
bloody nose;кровавый нос
burning feeling in the chest or stomach;ощущение сжигания в груди или желудке
burning while urinating;горит во время мочеиспускания
burning, dry, or itching eyes;горящие, сухие или зудные глаза
change in color of the treated skin;Изменение цвета обработанной кожи
change in sense of smell;Изменение обоняния
change in taste;Изменение вкуса
changes in vision;Изменения в зрения
constipation;запор
continuing ringing or buzzing or other unexplained noise in the ears;Продолжение звонка, гудя или другой необъяснимый шум в ушах
cracked, dry, or scaly skin;потрескавшаяся, сухая или чешуйчатая кожа
decreased sexual performance or desire;Снижение сексуальной эффективности или желания
depression;депрессия
difficulty with moving;Сложность с движением
difficulty with swallowing;Сложность при глотании
discharge, excessive tearing;Выписка, чрезмерное разрыв
double vision;двойное видение
dry mouth;сухой рот
dryness of the skin;сухость кожи
excess air or gas in the stomach or intestines;избыток воздуха или газа в желудке или кишечнике
excessive muscle tone;Чрезмерный мышечный тонус
eye pain;Боль в глазах
feeling of constant movement of self or surroundings;чувство постоянного движения себя или окружения
feeling of unreality;чувство нереальности
feeling unusually cold;Чувствует необычайно холодное
flushed, dry skin;Промытая сухая кожа
fruit-like breath odor;Фруктовый запах дыхания
full feeling;Полное чувство
general feeling of discomfort or illness;общее чувство дискомфорта или болезни
hair loss or thinning of the hair;выпадение волос или истончение волос
headache, severe and throbbing;головная боль, сильная и пульсирующая
hearing loss;Потеря слуха
increased appetite;Увеличение аппетита
increased hunger;Увеличение голода
increased sweating;Повышение потоотделения
increased thirst;Увеличение жажды
increased urge to urinate during the night;Повышенное желание мочеиваться ночью
increased urination;Увеличение мочеиспускания
irritability;раздражительность
irritation in the mouth;раздражение во рту
lack of feeling or emotion;Отсутствие чувств или эмоций
loose stools;Свободный стул
loss of memory;потеря памяти
muscle pains, stiffness, tension, tightness, or weakness;мышечные боли, жесткость, напряжение, стеснение или слабость
nervousness;нервозность
pain;боль
pains in the stomach, side, or abdomen, possibly radiating to the back;боли в животе, стороне или животе, возможно, излучаясь в спину
passing gas;проходящий газ
problems with memory;Проблемы с памятью
redness and swelling of the gums;покраснение и набухание десен
redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid;покраснение, боль или набухание глаз, веки или внутренняя подкладка века
restlessness;беспокойство
runny nose;насморк
seeing double;Увидев двойник
sensation of spinning;Ощущение спиннинг
sense of detachment from self or body;чувство отряда от себя или тела
shakiness and unsteady walk;шаткий и неустойчивая прогулка
shivering;дрожь
sneezing;чихание
stuffy nose;заложенность носа
sweating;потоотделение
swollen joints;опухшие суставы
tenderness in the stomach area;нежность в области желудка
thirst;жажда
trouble in holding or releasing urine;Проблемы в удержании или выпуске мочи
trouble sleeping;Проблемы со сном
twitching;дергается
uncaring;безразличный
unexplained weight loss;необъяснимая потеря веса
unsteadiness, trembling, or other problems with muscle control or coordination;неустойчивость, дрожь или другие проблемы с контролем мышц или координации
waking to urinate at night;Пробуждение на мочеиспускании ночью
weight loss;потеря веса
swelling of the breasts or breast soreness in both females and males;отек груди или болезненность груди как у женщин, так и у мужчин
blood in the eyes;кровь в глазах
blood in the urine;кровь в моче
bloody or black, tarry stools;кровавые или черные, табуретки
bruising or purple areas on the skin;синяки или фиолетовые участки на коже
confusion;путаница
constipation;запор
coughing up blood;кашлять кровью
decreased alertness;Снижение бдительности
difficulty swallowing;Сложность глотания
dizziness;головокружение
fainting;обморок
fast heartbeat;Быстрое сердцебиение
headache;головная боль
hives, itching, skin rash;ульи, зуд, кожная сыпь
joint pain or swelling;боль в суставах или набухание
nausea and vomiting;Тошнота и рвота
nosebleeds;носовые кровотечения
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
redness of the eye;покраснение глаз
severe stomach pain;Сильная боль в животе
shortness of breath;одышка
tightness in the chest;плотность в груди
unusual tiredness or weakness;необычная усталость или слабость
vomiting of blood or material that looks like coffee grounds;рвота крови или материала, похожая на кофейную гуля
body aches or pain;боли в теле или боль
chest pain;боль в груди
chills;озноб
cough;кашель
difficult or labored breathing;трудное или трудовое дыхание
ear congestion;ушной застой
fever;высокая температура
headache;головная боль
loss of voice;потеря голоса
nasal congestion;носовые заторы
pain or tenderness around eyes and cheekbones;боль или нежность вокруг глаз и скул
shortness of breath or troubled breathing;одышка или беспокойное дыхание
sneezing;чихание
sore throat;больное горло
stuffy or runny nose;душной или жидкий нос
tightness in chest;стеснение в груди
unusual tiredness or weakness;необычная усталость или слабость
wheezing;хрипил
chest discomfort;грудный дискомфорт
lightheadedness, dizziness, or fainting;легкомысленность, головокружение или обморок
slow or irregular heartbeat;Медленное или нерегулярное сердцебиение
abnormal or decreased touch sensation;ненормальное или уменьшенное сенсацию
diarrhea;диарея
difficulty in moving;Сложность в движении
lack or loss of strength;Недостаток или потеря силы
muscle pain or stiffness;мышечная боль или жесткость
pain in joints;боль в суставах
sleeplessness;бессонница
trouble sleeping;Проблемы со сном
unable to sleep;Невозможно спать
vomiting;рвота
bladder pain;боль мочевого пузыря
bloating;вздутие живота
bloody or cloudy urine;кровавая или облачная моча
decreased frequency or amount of urine;снижение частоты или количества мочи
difficult, burning, or painful urination;Сложный, горящий или болезненное мочеиспускание
discharge with a strong odor from the penis;Выписать с сильным запахом от полового члена
frequent urge to urinate;Частое желание мочиться
increased thirst;Увеличение жажды
increased urge to urinate during the night;Повышенное желание мочеиваться ночью
indigestion;расстройство желудка
itching of the vagina or outside of the genitals;зуд влагалища или за пределами гениталий
loss of appetite;потеря аппетита
lower back or side pain;боль в пояснице или боковой боли
nausea;тошнота
pain during sexual intercourse;боль во время полового акта
pain in the skin around the penis;боль в коже вокруг пениса
problems in urination or increase in amount of urine;Проблемы в мочеиспускании или увеличение количества мочи
redness, itching, or swelling of the penis;покраснение, зуд или отек пениса
swelling of the face, fingers, or lower legs;Отек лица, пальцев или нижних ног
thick, white vaginal discharge with mild or no odor;толстый белый вагинальный разряд с легким или без запаха
trouble breathing;Проблема дыхание
unusual tiredness or weakness;необычная усталость или слабость
vomiting;рвота
waking to urinate at night;Пробуждение на мочеиспускании ночью
weight gain;увеличение веса
anxiety;беспокойство
blurred vision;размытое зрение
chills;озноб
cold sweats;Холодные поты
confusion;путаница
cool, pale skin;Прохладная, бледная кожа
depression;депрессия
dizziness;головокружение
dry mouth;сухой рот
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
flushing, redness of the skin;покраснение, покраснение кожи
headache;головная боль
hives or welts, itching skin, rash;ульи или сэлты, зудящая кожа, сыпь
increased hunger;Увеличение голода
itching skin;Зуд кожу
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или гениталии
nightmares;кошмары
redness of the skin;покраснение кожи
seizures;Припадки
shakiness;шаттин
slurred speech;невнятная речь
unusually warm skin;необычно теплая кожа
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
fever;высокая температура
flushed, dry skin;Промытая сухая кожа
frequent or painful urination;Частое или болезненное мочеиспускание
fruit-like breath odor;Фруктовый запах дыхания
increased urination;Увеличение мочеиспускания
loss of consciousness;потеря сознания
numbness or tingling in the hands, feet, or lips;онемение или покалывание в руках, ногах или губах
pain, tenderness, redness, or swelling of the area between the anus and genitals;боль, нежность, покраснение или набухание области между анусом и гениталиями
stomach pain;боль в животе
sweating;потоотделение
unexplained weight loss;необъяснимая потеря веса
weakness or heaviness of the legs;Слабость или тяжесть ног
yellow eyes or skin;желтые глаза или кожа
difficulty having a bowel movement;трудности с движением кишечника
falls;водопад
lack or loss of strength;Недостаток или потеря силы
pain or swelling in the arms or legs without an injury;Боль или отек в руках или ногах без травмы
increased sensitivity of the skin to sunlight;Повышенная чувствительность кожи к солнечному свету
redness or other discoloration of the skin;покраснение или другое обесцвечивание кожи
severe sunburn;Суровый солнечный ожог
arm, back, or jaw pain;рука, спина или боль в челюсти
bleeding gums;кровоточащие десны
chest pain or discomfort;боль в груди или дискомфорт
chest tightness or heaviness;Групкость или тяжесть груди
chills;озноб
cough or hoarseness;кашель или хрипота
dizziness;головокружение
fainting;обморок
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
fever;высокая температура
joint pain;боль в суставах
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
lightheadedness;легкомысленность
lower back or side pain;боль в пояснице или боковой боли
nausea;тошнота
nosebleeds;носовые кровотечения
pain or discomfort in the arms, jaw, back, or neck;боль или дискомфорт в руках, челюсти, спине или шеи
painful or difficult urination;болезненное или трудное мочеиспускание
shortness of breath;одышка
sweating;потоотделение
swelling of the feet or lower legs;Отек ног или нижних ног
vomiting;рвота
abdominal or stomach pain;боль в животе или животе
black, tarry stools;Черный, табуретки
bloody urine;кровавая моча
coma;кома
confusion;путаница
convulsions;судороги
dark urine;темная моча
decreased urine output;Снижение выхода мочи
difficult or troubled breathing;трудное или беспокойное дыхание
general feeling of tiredness or weakness;общее чувство усталости или слабости
headache;головная боль
hives or welts;ульи или сварки
increased blood pressure;Повышенное кровяное давление
increased thirst;Увеличение жажды
itching;зуд
light-colored stools;Светлый стул
loss of appetite;потеря аппетита
muscle pain or cramps;мышечная боль или судороги
nervousness;нервозность
numbness or tingling in the hands, feet, or lips;онемение или покалывание в руках, ногах или губах
pale skin;бледная кожа
redness of the skin;покраснение кожи
skin rash;кожная сыпь
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
swelling of the face, ankles, or hands;Отек лица, лодыжки или руки
unusual bleeding or bruising;необычное кровотечение или синяки
unusual tiredness or weakness;необычная усталость или слабость
upper right abdominal or stomach pain;боль в верхней правой брюшной или желудке
weakness or heaviness of the legs;Слабость или тяжесть ног
weight gain;увеличение веса
yellow eyes or skin;желтые глаза или кожа
ear congestion or pain;ушной застой или боль
head congestion;застой головы
runny or stuffy nose;жидкий или душный нос
sneezing;чихание
arm, back, or jaw pain;рука, спина или боль в челюсти
bleeding gums;кровоточащие десны
chest pain or discomfort;боль в груди или дискомфорт
chest tightness or heaviness;Групкость или тяжесть груди
chills;озноб
cough or hoarseness;кашель или хрипота
dizziness;головокружение
fainting;обморок
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
fever;высокая температура
joint pain;боль в суставах
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
lightheadedness;легкомысленность
lower back or side pain;боль в пояснице или боковой боли
nausea;тошнота
nosebleeds;носовые кровотечения
pain or discomfort in the arms, jaw, back, or neck;боль или дискомфорт в руках, челюсти, спине или шеи
painful or difficult urination;болезненное или трудное мочеиспускание
shortness of breath;одышка
sweating;потоотделение
swelling of the feet or lower legs;Отек ног или нижних ног
vomiting;рвота
abdominal or stomach pain;боль в животе или животе
black, tarry stools;Черный, табуретки
bloody urine;кровавая моча
coma;кома
confusion;путаница
convulsions;судороги
dark urine;темная моча
decreased urine output;Снижение выхода мочи
difficult or troubled breathing;трудное или беспокойное дыхание
general feeling of tiredness or weakness;общее чувство усталости или слабости
headache;головная боль
hives or welts;ульи или сварки
increased blood pressure;Повышенное кровяное давление
increased thirst;Увеличение жажды
itching;зуд
light-colored stools;Светлый стул
loss of appetite;потеря аппетита
muscle pain or cramps;мышечная боль или судороги
nervousness;нервозность
numbness or tingling in the hands, feet, or lips;онемение или покалывание в руках, ногах или губах
pale skin;бледная кожа
redness of the skin;покраснение кожи
skin rash;кожная сыпь
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
swelling of the face, ankles, or hands;Отек лица, лодыжки или руки
unusual bleeding or bruising;необычное кровотечение или синяки
unusual tiredness or weakness;необычная усталость или слабость
upper right abdominal or stomach pain;боль в верхней правой брюшной или желудке
weakness or heaviness of the legs;Слабость или тяжесть ног
weight gain;увеличение веса
yellow eyes or skin;желтые глаза или кожа
chest pain;боль в груди
cloudy urine;облачная моча
fast, pounding, or irregular heartbeat or pulse;Быстро, стучание или нерегулярное сердцебиение или пульс
arm, back, or jaw pain;рука, спина или боль в челюсти
bloody urine;кровавая моча
chest discomfort;грудный дискомфорт
chest tightness or heaviness;Групкость или тяжесть груди
decreased blood pressure;Снижение артериального давления
decreased or increased frequency or amount of urine;снижение или увеличение частоты или количества мочи
dilated neck veins;Расширенные вены шеи
increased thirst;Увеличение жажды
irregular breathing;нерегулярное дыхание
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
loss of appetite;потеря аппетита
low blood pressure;Низкое кровяное давление
lower back or side pain;боль в пояснице или боковой боли
nausea;тошнота
paleness or cold feeling in the fingertips and toes;бледность или холодные ощущения в кончиках пальцев и ног
sweating;потоотделение
swelling of the face, fingers, feet, or lower legs;отек лица, пальцев, ног или нижних ног
tingling or pain in the fingers or toes when exposed to cold temperatures;покалывание или боль в пальцах пальцев или ног при воздействии холодных температур
troubled breathing;Беспокойное дыхание
unusual tiredness or weakness;необычная усталость или слабость
vomiting;рвота
weight gain;увеличение веса
bleeding gums;кровоточащие десны
bloody, black, or tarry stools;кровавые, черные или трюки -табуретки
blurred vision;размытое зрение
chills;озноб
confusion;путаница
cough;кашель
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
high fever;высокая температура
painful or difficult urination;болезненное или трудное мочеиспускание
pale skin;бледная кожа
pinpoint red spots on the skin;Определите красные пятна на коже
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
swollen glands;опухшие железы
unusual bleeding or bruising;необычное кровотечение или синяки
change in taste;Изменение вкуса
feeling of warmth;чувство тепла
itching skin;Зуд кожу
loss of taste;Потеря вкуса
rash;сыпь
redness of the face, neck, arms, and occasionally, upper chest;покраснение лица, шеи, рук и иногда, верхняя грудь
allergy;аллергия
chest pain, discomfort, tightness, or heaviness;Боль в груди, дискомфорт, стеснение или тяжесть
dizziness, lightheadedness, or fainting;головокружение, легкомысленность или обморок
generalized swelling or swelling of the feet, ankles, or lower legs;Генерализованный отек или набухание ног, лодыжек или нижних ног
pain;боль
slow heartbeat;Медленное сердцебиение
trouble breathing;Проблема дыхание
weight gain;увеличение веса
ankle, knee, or great toe joint pain;лодыжка, колено или боль в суставах
anxiety;беспокойство
arm, back, or jaw pain;рука, спина или боль в челюсти
blood in the urine;кровь в моче
bloody, black or tarry stools;кровавые, черные или трюки -табуретки
chills;озноб
cloudy urine;облачная моча
cold sweats;Холодные поты
coma;кома
confusion;путаница
cool pale skin;Прохладная бледная кожа
cough;кашель
dark urine;темная моча
decreased appetite;Снижение аппетита
decreased frequency or amount of urine;снижение частоты или количества мочи
depression;депрессия
difficulty with breathing;Сложность с дыханием
dizziness, faintness, or lightheadedness when getting up suddenly from a lying position;головокружение, слабость или легкомысленность, внезапно вставая из лживого положения
dry mouth;сухой рот
fainting;обморок
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
fever;высокая температура
flu-like symptoms;Симптомы гриппа
flushed, dry skin;Промытая сухая кожа
fruit-like breath odor;Фруктовый запах дыхания
headache, sudden and severe;головная боль, внезапная и сильная
inability to speak;неспособность говорить
increased blood pressure;Повышенное кровяное давление
increased hunger;Увеличение голода
increased thirst;Увеличение жажды
increased urination;Увеличение мочеиспускания
itching;зуд
joint stiffness or swelling;жесткость сустава или набухание
large amount of cholesterol in the blood;большое количество холестерина в крови
loss of appetite;потеря аппетита
loss of consciousness;потеря сознания
lower back, side, or stomach pain;боль в пояснице, стороне или животе
mental depression;психическая депрессия
muscle pain or cramps;мышечная боль или судороги
nervousness;нервозность
nightmares;кошмары
noisy, rattling breathing;шумный, грохочущий дыхание
numbness or tingling in the hands, feet, or lips;онемение или покалывание в руках, ногах или губах
pinpoint red or purple spots on the skin;Определите красные или фиолетовые пятна на коже
pounding in the ears;стуча в уши
pounding, slow heartbeat;стуча, медленное сердцебиение
rapid breathing;быстрое дыхание
seizures;Припадки
shakiness;шаттин
slurred speech;невнятная речь
stomachache;боли в животе
sweating;потоотделение
swelling of the fingers or hands;отек пальцев или рук
temporary blindness;временная слепота
tenderness on the upper right side of the body;нежность на верхней правой части тела
trouble with breathing even at rest;Проблемы с дыханием даже в состоянии покоя
unexplained weight loss;необъяснимая потеря веса
unusual bleeding or bruising;необычное кровотечение или синяки
weakness in the arm and/or leg on one side of the body, sudden and severe;Слабость в руке и/или ноге на одной стороне тела, внезапная и суровая
weakness or heaviness of the legs;Слабость или тяжесть ног
yellow eyes or skin;желтые глаза или кожа
blistering, peeling, or loosening of the skin;волдырь, очистка или ослабление кожи
diarrhea;диарея
joint or muscle pain;боли в суставах или мышцах
red irritated eyes;красные раздраженные глаза
red skin lesions, often with a purple center;Повреждения красной кожи, часто с фиолетовым центром
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
swollen or painful glands;опухшие или болезненные железы
unusual tiredness or weakness;необычная усталость или слабость
back pain;боль в спине
diarrhea;диарея
prickling or tingling sensation;ощущение покалывания или покалывания
